ss_id,llsoacd,orientation,tilt,kwp,operational_at
2405,E01007430,180.0,35.0,3.359999895095825,2010-11-18
2406,E01008780,315.0,30.0,1.8899999856948853,2010-12-03
2407,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2408,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2409,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2410,E01008780,225.0,30.0,1.8899999856948853,2011-02-04
2411,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2412,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2413,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2414,E01008780,135.0,30.0,1.8899999856948853,2010-12-03
2415,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2416,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2417,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2418,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2419,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2420,E01008780,135.0,30.0,1.8899999856948853,2011-02-08
2421,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2422,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2423,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2424,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2425,E01008780,225.0,30.0,1.8899999856948853,2011-02-08
2426,E01008780,225.0,30.0,1.8899999856948853,2011-03-29
2427,E01008780,225.0,30.0,1.8899999856948853,2010-12-03
2428,E01007891,180.0,30.0,3.359999895095825,2010-12-20
2429,E01012535,190.0,45.0,1.0499999523162842,2011-02-03
2430,E01012534,180.0,45.0,1.0499999523162842,2011-01-05
2431,E01012520,160.0,35.0,3.700000047683716,2011-02-03
2432,E01012520,160.0,35.0,3.700000047683716,2010-12-20
2433,E01012534,190.0,45.0,1.0499999523162842,2011-02-03
2434,E01012534,190.0,45.0,1.0499999523162842,2010-12-16
2435,E01012535,190.0,45.0,1.0499999523162842,2010-12-16
2436,E01012534,190.0,45.0,1.0499999523162842,2010-12-16
2437,E01023258,215.0,45.0,1.6200000047683716,2010-12-20
2438,E01023258,150.0,45.0,1.7999999523162842,2010-12-20
2439,E01023258,150.0,45.0,2.880000114440918,2010-12-20
2440,E01023258,150.0,45.0,3.7799999713897705,2011-01-07
2441,E01023258,150.0,45.0,1.7999999523162842,2011-01-19
2442,E01012535,150.0,45.0,1.0499999523162842,2011-06-16
2443,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2444,E01012535,150.0,45.0,1.0499999523162842,2011-02-03
2445,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2446,E01012535,150.0,45.0,1.0499999523162842,2011-02-03
2447,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2448,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2449,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2450,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2451,E01012535,150.0,45.0,1.0499999523162842,2010-12-24
2452,E01012535,150.0,45.0,1.0499999523162842,2011-02-01
2453,E01023258,135.0,45.0,1.6200000047683716,2011-01-28
2454,E01023258,215.0,45.0,2.5199999809265137,2011-01-21
2455,E01023258,215.0,45.0,1.6200000047683716,2011-01-21
2456,E01023258,135.0,45.0,1.7999999523162842,2011-01-21
2457,E01023258,135.0,45.0,3.7799999713897705,2011-03-04
2458,E01023258,135.0,45.0,2.3399999141693115,2011-01-21
2459,E01023258,135.0,45.0,3.240000009536743,2011-01-28
2460,E01023258,210.0,45.0,2.880000114440918,2011-01-27
2461,E01023258,135.0,45.0,1.7999999523162842,2011-02-09
2462,E01023258,145.0,45.0,1.7999999523162842,2011-02-09
2463,E01023258,210.0,45.0,1.6200000047683716,2011-02-09
2464,E01023258,135.0,45.0,1.440000057220459,2011-02-09
2465,E01023256,217.0,45.0,2.1600000858306885,2011-05-04
2466,E01023256,217.0,45.0,2.5199999809265137,2011-02-03
2467,E01023256,217.0,45.0,3.5999999046325684,2011-02-04
2468,E01023256,145.0,45.0,3.5999999046325684,2011-02-07
2469,E01023256,217.0,45.0,1.7999999523162842,2011-02-04
2470,E01023256,217.0,45.0,2.700000047683716,2011-02-03
2471,E01007891,180.0,45.0,3.3299999237060547,2011-02-14
2472,E01023256,217.0,45.0,2.880000114440918,2011-04-27
2473,E01023256,217.0,45.0,1.6200000047683716,2011-03-07
2474,E01023256,145.0,45.0,1.7999999523162842,2011-02-07
2475,E01023256,145.0,45.0,3.7799999713897705,2011-02-07
2476,E01023256,145.0,45.0,2.3399999141693115,2011-02-14
2477,E01023256,145.0,45.0,1.7999999523162842,2011-02-14
2478,E01023256,217.0,45.0,1.7999999523162842,2011-02-14
2479,E01023256,217.0,45.0,2.5199999809265137,2011-02-14
2480,E01023256,145.0,45.0,3.5999999046325684,2011-02-23
2481,E01023256,145.0,45.0,2.5199999809265137,2011-03-01
2482,E01023256,217.0,45.0,3.5999999046325684,2011-02-21
2483,E01023256,217.0,45.0,2.880000114440918,2011-03-01
2484,E01023256,217.0,45.0,2.700000047683716,2011-03-03
2485,E01012526,185.0,40.0,1.7999999523162842,2011-02-21
2486,E01012526,185.0,40.0,1.7999999523162842,2011-02-21
2487,E01023256,145.0,45.0,1.9800000190734863,2011-02-21
2488,E01023256,145.0,45.0,3.7799999713897705,2011-03-01
2489,E01023255,217.0,45.0,2.880000114440918,2011-03-02
2490,E01023255,145.0,45.0,3.5999999046325684,2011-03-30
2491,E01023255,145.0,45.0,3.5999999046325684,2011-03-30
2492,E01023255,217.0,45.0,2.700000047683716,2011-03-01
2493,E01007891,180.0,45.0,3.3299999237060547,2011-03-04
2494,E01007889,180.0,35.0,3.8399999141693115,2011-03-10
2495,E01028737,180.0,30.0,3.2899999618530273,2011-03-11
2496,E01028737,180.0,30.0,3.2899999618530273,2011-03-11
2497,E01028712,135.0,30.0,2.3499999046325684,2011-03-11
2498,E01028712,135.0,30.0,2.3499999046325684,2011-03-11
2499,E01028712,135.0,30.0,2.3499999046325684,2011-03-11
2500,E01018450,180.0,40.0,3.9600000381469727,2011-03-18
2501,E01023258,215.0,45.0,1.440000057220459,2011-01-21
2502,E01015302,135.0,38.0,2.25,2011-09-09
2503,E01033300,170.0,30.0,1.600000023841858,2011-05-20
2504,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2505,E01017632,180.0,35.0,3.0799999237060547,2011-05-25
2506,E01028598,180.0,45.0,3.740000009536743,2011-05-25
2507,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2508,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2509,E01008748,240.0,30.0,2.0999999046325684,2011-05-20
2510,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2511,E01008748,215.0,30.0,2.0999999046325684,2011-05-20
2512,E01008748,250.0,30.0,2.0999999046325684,2011-05-24
2513,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2514,E01008748,105.0,30.0,2.0999999046325684,2011-05-20
2515,E01008748,200.0,30.0,2.0999999046325684,2011-05-24
2516,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2517,E01008748,200.0,30.0,2.0999999046325684,2011-05-24
2518,E01008748,175.0,30.0,2.0999999046325684,2011-05-20
2519,E01006900,180.0,30.0,0.6600000262260437,2011-05-20
2520,E01008748,250.0,30.0,2.0999999046325684,2011-05-24
